id,title,description,url,author,image,language,category,published
5890cd6a-b704-4609-8aaa-470363cf9a11,Jewelry seized by the Nazis from Polish concentration camp prisoners is returned to families,"Stanislawa Wasilewska was 42 when she was captured by Nazi German troops on Aug. 31, 1944, in Warsaw and sent to the women’s concentration camp at Ravensbrück, Germany.  From there, she was sent to the Neuengamme forced labor camp, where she was given prisoner number 7257 and had her valuables seize...",https://www.yahoo.com/news/jewelry-seized-nazis-polish-concentration-100224659.html,Monika Scislowska,https://s.yimg.com/ny/api/res/1.2/lVuApA5IB2OA.N1gqEn5lw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/ap.org/085d34bf6c86f8a0e08572999b0aa90a,en,['general'],2024-09-11 10:02:24 +0000
907dacc5-42c9-4917-8a89-3e5dd206696b,'It's almost shameful to want to have children',"'Climate Anxiety and the Kid Question' asks: With American society feeling more socially and politically polarized than ever, is it right to bring another person into the world?",https://www.latimes.com/environment/story/2024-09-11/climate-anxiety-and-the-kid-question,Jade S. Sasser,https://ca-times.brightspotcdn.com/dims4/default/7898eff/2147483647/strip/true/crop/3360x1890+0+175/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2F56%2F55%2F9a85821d4008bc106e1b4887d3f7%2Fpictures-of-the-week-latin-america-and-caribbean-photo-gallery-50119.jpg,en,"['world', 'us']",2024-09-11 10:00:40 +0000
ee42eed8-6dbe-44f4-91f3-8b94dd7b4c4b,Russia's Kursk region puts damage from Ukraine attack at nearly $1 billion,"The economic damage from Ukraine's attack on Russia's mainly agricultural Kursk region is estimated at almost $1 billion, with more than 150,000 people evacuated since the start of the incursion, the regional governor said on Wednesday.  Ukraine on Aug. 6 launched the biggest foreign attack on Russi...",https://www.yahoo.com/news/russias-kursk-region-puts-damage-100022539.html,yahoo,https://media.zenfs.com/en/reuters.com/bedb70b8b38a2d647b2ecceb41c986bf,en,['general'],2024-09-11 10:00:22 +0000
cdf2635f-a0bd-488b-9e2a-b36f70eab529,World champ Terence Crawford says leading Huskers to field was like walking to the ring for a fight,Terence Crawford said he felt the same way he does when he makes the walk from his dressing room to the boxing ring for a world championship fight.,https://www.washingtontimes.com/news/2024/sep/11/terence-crawford-says-leading-huskers-to-field-was/,Eric Olson,https://twt-thumbs.washtimes.com/media/image/2024/09/11/Nebraska_Crawford_Football_75152_c0-251-6000-3749_s1770x1032.jpg?21cd7831eab7ad0be624c464dc808fe93f3b603e,en,['sports'],2024-09-11 10:00:09 +0000
c634090c-b79f-420a-9272-33a562b8d83e,Tell Me Everything by Elizabeth Strout review – when Olive Kitteridge met Lucy Barton,The worlds of Strout’s previous books converge in this quietly stunning novel of interlocking stories,https://www.theguardian.com/books/article/2024/sep/11/tell-me-everything-by-elizabeth-strout-review-olive-kitteridge-lucy-barton-crosby-shirley-falls,Elizabeth Lowry,https://i.guim.co.uk/img/media/128bfd3ae77b31e248e1dc84b8cef91582c6bd03/86_121_3797_2278/master/3797.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=a3a621af4c12818325fb58b941e0a020,en,"['books', 'lifestyle']",2024-09-11 10:00:07 +0000
d3635dc9-a193-4ec2-9822-3aab4b533f6a,The World’s Biggest Bitcoin Mine Is Rattling This Texas Oil Town,A cash-strapped city in rural Texas will soon be home to the world’s largest bitcoin mine. Local protesters are “raising hell.”,https://www.wired.com/story/the-worlds-biggest-bitcoin-mine-is-rattling-this-texas-oil-town/,Joel Khalili,"https://media.wired.com/photos/66c5ecc5724cee849e3104da/191:100/w_1280,c_limit/WIRED_BTC_EC_B-Elena-Chudoba.jpg",en,['business'],2024-09-11 10:00:00 +0000
b5ce8492-5263-4fbe-96d5-381b5a094342,Trump says more tariffs will stop wars. Experts disagree.,"Former President Trump offered a new strategy for world peace during a rally in North Carolina last month: massive tariffs on countries that start wars.  
""We don't have to send troops, I can do it with a telephone call,"" he said. ""You go to war with another country that's friendly to us, or even no...",https://thehill.com/policy/defense/4872274-trump-tariff-war-policy/,Brad Dress,None,en,['general'],2024-09-11 10:00:00 +0000
ebc9418d-2230-4068-98c6-edd7fd31c960,Manage Sensitive API Keys in Public Dotfiles Using PGP and SOPS,"In modern development environment, it's common to host dotfiles
publicly—especially for sharing across machines or with the broader developer
community. However, this convenience introduces security risks, such as
accidentally exposing sensitive information like API keys, tokens, and
credentials in ...",https://dev.to/wiresurfer/manage-sensitive-api-keys-in-public-dotfiles-using-pgp-and-sops-5mn,Shaishav Kumar |,None,en,['programming'],2024-09-11 09:58:38 +0000
4cb1395c-2624-465d-89ec-f92d9bd2c4ad,(PR) Infineon Announces World's First 300 mm Power Gallium Nitride (GaN) Technology,Infineon Technologies AG today announced that the company has succeeded in developing the world's first 300 mm power gallium nitride (GaN) wafer technology. Infineon is the first company in the world to master this groundbreaking technology in an existing and scalable high-volume manufacturing envir...,https://www.techpowerup.com/326513/infineon-announces-worlds-first-300-mm-power-gallium-nitride-gan-technology,W1zzard,None,en,"['gadgets', 'game', 'technology']",2024-09-11 09:51:23 +0000
84c70034-f02d-4234-9009-8129d8eee645,Huawei's new Mate XT smartphone has a huge 10-inch foldable display,"Shortly after Apple unveiled the iPhone 16, Chinese tech company Huawei announced ""the world's first triple-fold smartphone"" -- the Mate XT Ultimate Design. Foldable phones typically have a single hin...",https://www.zdnet.com/article/huaweis-new-mate-xt-smartphone-has-a-huge-10-inch-foldable-display/,Cesar Cadenas,https://www.zdnet.com/a/img/resize/d20a53851e66e22d312ea021220902608393c9f2/2024/09/10/5e00f3b8-7798-4168-b3a9-cc74f26c9634/huawei-mate-xt-ultimate-design-unfolded.jpg?auto=webp&fit=crop&height=675&width=1200,en,['technology'],2024-09-11 09:43:03 +0000
